City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Yellowknife,CA,2022-02-04 06:10:03,62.456,-114.3525,-30.44,66,44,3.0
1,Marawi,PH,2022-02-04 06:14:42,7.9986,124.2928,72.64,79,100,3.36
2,Gazojak,TM,2022-02-04 06:14:43,41.1875,61.4036,44.29,49,94,16.6
3,Avarua,CK,2022-02-04 06:14:43,-21.2078,-159.775,78.85,83,20,14.97
4,Avera,US,2022-02-04 06:14:44,33.194,-82.5271,68.45,82,100,15.26
5,Pangnirtung,CA,2022-02-04 06:14:44,66.1451,-65.7125,-13.76,100,100,2.21
6,Hilo,US,2022-02-04 06:11:17,19.7297,-155.09,71.33,86,100,0.0
7,Saint George,US,2022-02-04 06:14:45,37.1041,-113.5841,38.25,37,1,1.99
8,Ambovombe,MG,2022-02-04 06:14:46,-25.1667,46.0833,81.52,64,13,13.35
9,Tashara,RU,2022-02-04 06:14:46,55.5195,83.5094,16.23,93,86,10.74
10,Barrow,US,2022-02-04 06:14:47,71.2906,-156.7887,-27.38,75,90,5.75
11,Bluff,NZ,2022-02-04 06:14:48,-46.6,168.3333,54.81,76,100,7.47
12,Akyab,MM,2022-02-04 06:14:48,20.15,92.9,77.07,46,0,8.57
13,Jamestown,US,2022-02-04 06:10:07,42.097,-79.2353,21.09,67,100,5.01
14,Albany,US,2022-02-04 06:14:26,42.6001,-73.9662,36.48,91,100,3.0
15,Mogadishu,SO,2022-02-04 06:14:49,2.0371,45.3438,79.88,66,52,20.71
16,Qaanaaq,GL,2022-02-04 06:14:49,77.484,-69.3632,-12.28,52,96,8.9
17,La Ronge,CA,2022-02-04 06:14:50,55.1001,-105.2842,-18.18,76,0,3.44
18,Mataura,NZ,2022-02-04 06:14:50,-46.1927,168.8643,54.48,99,100,2.86
19,Meulaboh,ID,2022-02-04 06:13:47,4.1363,96.1285,85.19,64,84,5.75
20,Vaini,TO,2022-02-04 06:14:54,-21.2,-175.2,77.16,94,75,10.36
21,Bredasdorp,ZA,2022-02-04 06:14:55,-34.5322,20.0403,63.72,59,100,3.44
22,Thompson,CA,2022-02-04 06:11:46,55.7435,-97.8558,-21.84,69,0,3.44
23,Dunedin,NZ,2022-02-04 06:09:58,-45.8742,170.5036,51.42,94,100,8.25
24,Kaitangata,NZ,2022-02-04 06:12:39,-46.2817,169.8464,49.01,95,100,6.4
25,Charlestown,AU,2022-02-04 06:11:27,-32.95,151.6667,73.08,75,27,4.0
26,Taltal,CL,2022-02-04 06:10:20,-25.4,-70.4833,65.46,79,0,0.74
27,Dikson,RU,2022-02-04 06:14:57,73.5069,80.5464,-10.34,97,100,2.8
28,Padang,ID,2022-02-04 06:14:57,-0.9492,100.3543,84.25,78,81,5.97
29,Nikolskoye,RU,2022-02-04 06:14:58,59.7035,30.7861,0.91,100,100,3.24
30,Matagami,CA,2022-02-04 06:14:58,49.7502,-77.6328,-30.89,75,1,2.3
31,Mitu,CO,2022-02-04 06:14:59,1.1983,-70.1733,69.82,97,47,0.43
32,Leningradskiy,RU,2022-02-04 06:14:59,69.3833,178.4167,-10.64,83,6,5.21
33,Lorengau,PG,2022-02-04 06:15:00,-2.0226,147.2712,83.89,63,100,9.13
34,Cidreira,BR,2022-02-04 06:11:21,-30.1811,-50.2056,75.0,91,91,14.07
35,Pacifica,US,2022-02-04 06:13:57,37.6138,-122.4869,54.45,81,20,1.01
36,Ushuaia,AR,2022-02-04 06:10:11,-54.8,-68.3,34.11,91,52,2.98
37,Pacific Grove,US,2022-02-04 06:13:27,36.6177,-121.9166,51.31,85,0,1.99
38,San Antonio,US,2022-02-04 06:10:26,29.4241,-98.4936,26.19,76,0,4.0
39,Busselton,AU,2022-02-04 06:15:01,-33.65,115.3333,102.04,35,38,11.1
40,Allapalli,IN,2022-02-04 06:15:02,19.4167,80.0667,83.75,23,7,6.35
41,Rikitea,PF,2022-02-04 06:15:02,-23.1203,-134.9692,77.88,78,100,15.32
42,Cabo San Lucas,MX,2022-02-04 06:10:59,22.8909,-109.9124,64.51,64,51,4.85
43,Saint Pete Beach,US,2022-02-04 06:15:03,27.7253,-82.7412,68.0,82,0,0.0
44,New Norfolk,AU,2022-02-04 06:15:04,-42.7826,147.0587,70.88,41,4,3.0
45,Truro,GB,2022-02-04 06:15:17,50.2653,-5.0544,45.36,93,90,20.71
46,Codrington,AU,2022-02-04 06:16:04,-38.2667,141.9667,66.52,64,68,16.49
47,Kapaa,US,2022-02-04 06:13:44,22.0752,-159.319,71.92,59,1,5.75
48,Coihaique,CL,2022-02-04 06:16:05,-45.5752,-72.0662,51.75,82,0,2.3
49,Bambanglipuro,ID,2022-02-04 06:16:06,-7.95,110.2833,85.71,65,90,7.0
50,Namatanai,PG,2022-02-04 06:16:06,-3.6667,152.4333,82.76,74,93,11.3
51,Hermanus,ZA,2022-02-04 06:16:07,-34.4187,19.2345,65.89,63,85,11.21
52,Port Hardy,CA,2022-02-04 06:15:17,50.6996,-127.4199,46.76,93,75,16.11
53,Guarda,PT,2022-02-04 06:14:14,40.5373,-7.2658,38.07,94,100,2.89
54,Castro,BR,2022-02-04 06:16:08,-24.7911,-50.0119,64.29,98,99,2.66
55,Boyolangu,ID,2022-02-04 06:16:08,-8.1181,111.8935,86.54,63,100,6.93
56,Port Alfred,ZA,2022-02-04 06:16:09,-33.5906,26.891,70.92,69,90,13.6
57,Lucenec,SK,2022-02-04 06:16:09,48.3325,19.6671,36.18,95,100,1.99
58,Cape Town,ZA,2022-02-04 06:13:19,-33.9258,18.4232,66.11,61,0,3.0
59,Georgetown,MY,2022-02-04 06:15:06,5.4112,100.3354,93.13,55,20,9.22
60,Puerto Ayora,EC,2022-02-04 06:12:55,-0.7393,-90.3518,74.55,93,6,5.08
61,Airai,TL,2022-02-04 06:16:11,-8.9266,125.4092,70.74,74,86,4.21
62,Vao,NC,2022-02-04 06:16:11,-22.6667,167.4833,78.21,89,96,23.8
63,Hobart,AU,2022-02-04 06:13:40,-42.8794,147.3294,71.22,54,20,1.01
64,Tabuk,PH,2022-02-04 06:16:12,17.4189,121.4443,81.12,69,66,7.63
