City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Vaini,TO,77.16,light rain,-21.2,-175.2,Keleti Beach Resort
11,Rikitea,PF,78.49,few clouds,-23.1203,-134.9692,People ThankYou
14,Butaritari,KI,82.96,few clouds,3.0707,172.7902,Isles Sunset Lodge
16,Bambous Virieux,MU,83.21,light rain,-20.3428,57.7575,Casa Tia Villa
29,Vao,NC,80.37,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
45,Sarangani,PH,81.57,overcast clouds,5.4033,125.4636,Ballistic Islet
53,Moyo,UG,84.34,overcast clouds,3.6609,31.7247,Amelia Guest House
56,Kavieng,PG,83.66,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
65,Mae Sot,TH,86.45,overcast clouds,16.7167,98.5667,Suan Darb Porn Resort (บ้านสวนดาบพรรีสอร์ท)
66,Saint-Philippe,RE,89.19,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
67,Vanimo,PG,83.59,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
70,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
73,Souillac,MU,83.35,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
76,Hithadhoo,MV,82.51,overcast clouds,-0.6,73.0833,Scoop Guest House
78,Cockburn Town,TC,75.63,clear sky,21.4612,-71.1419,Osprey Beach Hotel
79,Morondava,MG,86.25,overcast clouds,-20.2833,44.2833,La Case Bambou
82,Atuona,PF,78.67,few clouds,-9.8,-139.0333,Villa Enata
84,Faanui,PF,80.94,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
89,Sinnamary,GF,75.83,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
92,Hwange,ZW,75.76,overcast clouds,-18.3693,26.5019,Hwange Colliery Guest House
96,Roebourne,AU,89.85,broken clouds,-20.7833,117.1333,Latitude20 Roebourne Village
98,Turbat,PK,75.88,clear sky,26.0023,63.044,Mubashar Quarters
100,Belmonte,BR,79.3,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
101,Ambon,ID,87.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
104,Mahebourg,MU,83.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
114,Acajutla,SV,78.24,clear sky,13.5928,-89.8275,Laureles
115,Ternate,ID,83.48,moderate rain,0.8,127.4,Sahid Bela Ternate Hotel
116,Sibolga,ID,81.57,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
120,Pithora,IN,76.08,clear sky,21.2667,82.5167,"Government Scheduled Caste Boys Hostel, Pithora"
130,Salalah,OM,78.89,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
132,Fare,PF,81.23,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
133,Arraial Do Cabo,BR,75.47,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
134,Ugoofaaru,MV,81.52,scattered clouds,5.6667,73.0,Ungoofaaru Inn
139,Isangel,VU,78.26,overcast clouds,-19.55,169.2667,Tanna Lodge
