City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Naryan-Mar,RU,2022-02-03 04:32:24,67.6713,53.087,8.37,96,100,5.59
1,Pontes E Lacerda,BR,2022-02-03 04:32:25,-15.2261,-59.3353,72.63,98,100,3.42
2,La Ronge,CA,2022-02-03 04:30:13,55.1001,-105.2842,-25.35,75,0,4.61
3,Kishni,IN,2022-02-03 04:32:26,27.0247,79.2634,65.23,54,25,20.54
4,Otane,NZ,2022-02-03 04:32:26,-39.8833,176.6333,82.38,28,96,7.16
5,Mataura,NZ,2022-02-03 04:32:27,-46.1927,168.8643,57.47,65,100,5.23
6,Atuona,PF,2022-02-03 04:32:27,-9.8,-139.0333,78.85,75,100,17.31
7,Ninghai,CN,2022-02-03 04:32:28,29.2892,121.4247,43.74,94,100,4.12
8,Saskylakh,RU,2022-02-03 04:32:28,71.9167,114.0833,-32.26,100,18,2.62
9,Castro,BR,2022-02-03 04:32:29,-24.7911,-50.0119,62.89,99,25,6.82
10,Kimbe,PG,2022-02-03 04:32:29,-5.5502,150.1429,78.8,86,100,5.82
11,Mehran,IR,2022-02-03 04:32:30,33.1222,46.1646,49.48,41,100,3.76
12,Mahebourg,MU,2022-02-03 04:32:30,-20.4081,57.7,80.89,89,75,27.63
13,Saint Andrews,US,2022-02-03 04:32:31,34.0454,-81.1293,57.97,70,100,5.75
14,Rikitea,PF,2022-02-03 04:32:31,-23.1203,-134.9692,77.97,76,69,10.83
15,Airai,TL,2022-02-03 04:32:32,-8.9266,125.4092,73.09,62,93,5.77
16,Dikson,RU,2022-02-03 04:28:11,73.5069,80.5464,-5.67,95,100,13.02
17,Tilichiki,RU,2022-02-03 04:32:32,60.4667,166.1,5.99,81,94,10.76
18,Saint-Pierre,RE,2022-02-03 04:32:33,-21.3393,55.4781,83.88,51,100,31.07
19,Bambous Virieux,MU,2022-02-03 04:32:34,-20.3428,57.7575,80.85,89,75,27.63
20,Manuk Mangkaw,PH,2022-02-03 04:32:34,4.8,119.85,81.14,71,100,2.08
21,Kutum,SD,2022-02-03 04:32:35,14.2,24.6667,59.54,21,13,10.09
22,Bredasdorp,ZA,2022-02-03 04:28:33,-34.5322,20.0403,65.28,82,0,6.53
23,Saint-Philippe,RE,2022-02-03 04:32:36,-21.3585,55.7679,83.79,94,100,35.81
24,Tiksi,RU,2022-02-03 04:32:37,71.6872,128.8694,-3.51,91,100,8.5
25,Noumea,NC,2022-02-03 04:32:37,-22.2763,166.4572,89.58,63,15,5.91
26,Carballo,ES,2022-02-03 04:30:35,43.213,-8.691,52.68,84,100,4.34
27,Forest Grove,US,2022-02-03 04:32:39,45.5198,-123.1107,45.61,85,100,0.0
28,Inuvik,CA,2022-02-03 04:32:39,68.3499,-133.7218,-20.99,72,20,2.3
29,Santo Antonio Do Sudoeste,BR,2022-02-03 04:32:40,-26.0736,-53.7253,68.5,80,0,3.11
30,Nemuro,JP,2022-02-03 04:32:40,43.3236,145.575,27.03,66,19,5.44
31,Invercargill,NZ,2022-02-03 04:32:41,-46.4,168.35,58.01,71,100,11.01
32,Cayenne,GF,2022-02-03 04:32:42,4.9333,-52.3333,79.09,87,75,1.99
